date,sample,OD600
2019-10-03-2230, sample_27_1, 0.28
2019-10-03-2230, sample_27_2, 0.99
2019-10-03-2230, sample_27_3, 1.37
2019-10-03-2230, sample_27_4, 0.5
2019-10-03-2230, sample_27_5, 1.84
2019-10-03-2230, sample_27_6, 0.19
2019-10-03-2230, sample_27_7, 0.99
2019-10-03-2230, sample_27_8, 1.89
2019-10-03-2230, sample_27_9, 1.46
2019-10-03-2230, sample_27_10, 1.63
2019-10-03-2230, sample_27_11, 1.11
2019-10-03-2230, sample_27_12, 0.65
2019-10-03-2230, sample_27_13, 1.6
2019-10-03-2230, sample_27_14, 0.99
2019-10-03-2230, sample_27_15, 0.38
2019-10-03-2230, sample_27_16, 1.62
2019-10-03-2230, sample_27_17, 0.88
2019-10-03-2230, sample_27_18, 0.36
2019-10-03-2230, sample_27_19, 0.17
2019-10-03-2230, sample_27_20, 1.25
2019-10-03-2230, sample_27_21, 1.8
2019-10-03-2230, sample_27_22, 0.82
2019-10-03-2230, sample_27_23, 0.91
2019-10-03-2230, sample_27_24, 1.28
2019-10-03-2230, sample_27_25, 0.75
2019-10-03-2230, sample_27_26, 0.14
2019-10-03-2230, sample_27_27, 1.77
2019-10-03-2230, sample_27_28, 0.66
2019-10-03-2230, sample_27_29, 1.16
2019-10-03-2230, sample_27_30, 1.47
2019-10-03-2230, sample_27_31, 1.64
2019-10-03-2230, sample_27_32, 0.86
2019-10-03-2230, sample_27_33, 1.23
2019-10-03-2230, sample_27_34, 0.64
2019-10-03-2230, sample_27_35, 1.89
2019-10-03-2230, sample_27_36, 0.67
