date,sample,OD600
2019-10-03-2230, sample_28_1, 0.61
2019-10-03-2230, sample_28_2, 0.73
2019-10-03-2230, sample_28_3, 0.1
2019-10-03-2230, sample_28_4, 0.16
2019-10-03-2230, sample_28_5, 0.91
2019-10-03-2230, sample_28_6, 1.18
2019-10-03-2230, sample_28_7, 0.49
2019-10-03-2230, sample_28_8, 0.33
2019-10-03-2230, sample_28_9, 1.58
2019-10-03-2230, sample_28_10, 0.84
2019-10-03-2230, sample_28_11, 0.75
2019-10-03-2230, sample_28_12, 0.27
2019-10-03-2230, sample_28_13, 1.76
2019-10-03-2230, sample_28_14, 0.11
2019-10-03-2230, sample_28_15, 0.8
2019-10-03-2230, sample_28_16, 0.58
2019-10-03-2230, sample_28_17, 1.68
2019-10-03-2230, sample_28_18, 0.17
2019-10-03-2230, sample_28_19, 0.18
