date,sample,OD600
2019-10-03-2230, sample_8_1, 1.4
2019-10-03-2230, sample_8_2, 0.58
2019-10-03-2230, sample_8_3, 0.19
2019-10-03-2230, sample_8_4, 1.76
2019-10-03-2230, sample_8_5, 0.31
2019-10-03-2230, sample_8_6, 0.58
2019-10-03-2230, sample_8_7, 1.59
2019-10-03-2230, sample_8_8, 0.85
2019-10-03-2230, sample_8_9, 0.49
2019-10-03-2230, sample_8_10, 0.84
2019-10-03-2230, sample_8_11, 0.28
2019-10-03-2230, sample_8_12, 0.65
2019-10-03-2230, sample_8_13, 0.06
2019-10-03-2230, sample_8_14, 1.83
2019-10-03-2230, sample_8_15, 1.67
2019-10-03-2230, sample_8_16, 0.1
2019-10-03-2230, sample_8_17, 1.31
2019-10-03-2230, sample_8_18, 0.22
2019-10-03-2230, sample_8_19, 1.89
2019-10-03-2230, sample_8_20, 0.93
