date,sample,OD600
2019-10-03-2230, sample_46_1, 0.6
2019-10-03-2230, sample_46_2, 1.88
2019-10-03-2230, sample_46_3, 0.81
2019-10-03-2230, sample_46_4, 0.49
2019-10-03-2230, sample_46_5, 1.61
2019-10-03-2230, sample_46_6, 0.0
2019-10-03-2230, sample_46_7, 0.79
2019-10-03-2230, sample_46_8, 0.21
2019-10-03-2230, sample_46_9, 1.7
2019-10-03-2230, sample_46_10, 0.94
2019-10-03-2230, sample_46_11, 0.7
2019-10-03-2230, sample_46_12, 1.24
2019-10-03-2230, sample_46_13, 1.81
2019-10-03-2230, sample_46_14, 1.74
2019-10-03-2230, sample_46_15, 1.89
2019-10-03-2230, sample_46_16, 1.52
2019-10-03-2230, sample_46_17, 1.31
2019-10-03-2230, sample_46_18, 0.01
2019-10-03-2230, sample_46_19, 1.38
2019-10-03-2230, sample_46_20, 1.95
2019-10-03-2230, sample_46_21, 1.58
2019-10-03-2230, sample_46_22, 0.75
2019-10-03-2230, sample_46_23, 1.08
2019-10-03-2230, sample_46_24, 1.82
2019-10-03-2230, sample_46_25, 1.79
2019-10-03-2230, sample_46_26, 1.73
2019-10-03-2230, sample_46_27, 1.86
2019-10-03-2230, sample_46_28, 1.74
2019-10-03-2230, sample_46_29, 1.5
2019-10-03-2230, sample_46_30, 1.41
2019-10-03-2230, sample_46_31, 0.25
2019-10-03-2230, sample_46_32, 0.48
2019-10-03-2230, sample_46_33, 1.54
2019-10-03-2230, sample_46_34, 0.99
2019-10-03-2230, sample_46_35, 0.68
2019-10-03-2230, sample_46_36, 1.83
2019-10-03-2230, sample_46_37, 0.88
2019-10-03-2230, sample_46_38, 0.81
2019-10-03-2230, sample_46_39, 1.88
2019-10-03-2230, sample_46_40, 0.47
