date,sample,OD600
2019-10-03-2230, sample_35_1, 1.42
2019-10-03-2230, sample_35_2, 1.01
2019-10-03-2230, sample_35_3, 1.07
2019-10-03-2230, sample_35_4, 1.85
2019-10-03-2230, sample_35_5, 1.11
2019-10-03-2230, sample_35_6, 0.23
2019-10-03-2230, sample_35_7, 0.74
2019-10-03-2230, sample_35_8, 0.82
2019-10-03-2230, sample_35_9, 1.79
2019-10-03-2230, sample_35_10, 1.18
2019-10-03-2230, sample_35_11, 1.81
2019-10-03-2230, sample_35_12, 1.42
2019-10-03-2230, sample_35_13, 0.3
2019-10-03-2230, sample_35_14, 0.64
2019-10-03-2230, sample_35_15, 1.45
2019-10-03-2230, sample_35_16, 0.3
2019-10-03-2230, sample_35_17, 1.64
2019-10-03-2230, sample_35_18, 1.65
2019-10-03-2230, sample_35_19, 1.69
2019-10-03-2230, sample_35_20, 1.07
2019-10-03-2230, sample_35_21, 1.34
2019-10-03-2230, sample_35_22, 1.36
2019-10-03-2230, sample_35_23, 1.86
2019-10-03-2230, sample_35_24, 0.48
2019-10-03-2230, sample_35_25, 0.12
2019-10-03-2230, sample_35_26, 0.97
2019-10-03-2230, sample_35_27, 1.02
2019-10-03-2230, sample_35_28, 0.46
2019-10-03-2230, sample_35_29, 1.24
2019-10-03-2230, sample_35_30, 0.63
2019-10-03-2230, sample_35_31, 0.39
2019-10-03-2230, sample_35_32, 0.94
