date,sample,OD600
2019-10-03-2230, sample_96_1, 0.2
2019-10-03-2230, sample_96_2, 1.4
2019-10-03-2230, sample_96_3, 0.97
2019-10-03-2230, sample_96_4, 1.04
2019-10-03-2230, sample_96_5, 0.48
2019-10-03-2230, sample_96_6, 1.5
2019-10-03-2230, sample_96_7, 0.06
2019-10-03-2230, sample_96_8, 1.6
2019-10-03-2230, sample_96_9, 0.27
2019-10-03-2230, sample_96_10, 1.46
2019-10-03-2230, sample_96_11, 1.0
2019-10-03-2230, sample_96_12, 0.04
2019-10-03-2230, sample_96_13, 1.71
2019-10-03-2230, sample_96_14, 0.25
2019-10-03-2230, sample_96_15, 1.19
