date,sample,OD600
2019-10-03-2230, sample_67_1, 1.6
2019-10-03-2230, sample_67_2, 1.93
2019-10-03-2230, sample_67_3, 1.86
2019-10-03-2230, sample_67_4, 0.5
2019-10-03-2230, sample_67_5, 0.85
2019-10-03-2230, sample_67_6, 1.13
2019-10-03-2230, sample_67_7, 0.12
2019-10-03-2230, sample_67_8, 1.6
2019-10-03-2230, sample_67_9, 1.66
2019-10-03-2230, sample_67_10, 1.93
2019-10-03-2230, sample_67_11, 1.79
2019-10-03-2230, sample_67_12, 0.6
2019-10-03-2230, sample_67_13, 1.74
2019-10-03-2230, sample_67_14, 0.47
2019-10-03-2230, sample_67_15, 1.62
2019-10-03-2230, sample_67_16, 0.11
