date,sample,OD600
2019-10-03-2230, sample_29_1, 0.23
2019-10-03-2230, sample_29_2, 0.71
2019-10-03-2230, sample_29_3, 1.06
2019-10-03-2230, sample_29_4, 0.39
2019-10-03-2230, sample_29_5, 1.49
2019-10-03-2230, sample_29_6, 0.89
2019-10-03-2230, sample_29_7, 1.09
2019-10-03-2230, sample_29_8, 1.95
2019-10-03-2230, sample_29_9, 0.29
2019-10-03-2230, sample_29_10, 1.97
2019-10-03-2230, sample_29_11, 1.28
2019-10-03-2230, sample_29_12, 0.9
2019-10-03-2230, sample_29_13, 1.61
2019-10-03-2230, sample_29_14, 0.84
2019-10-03-2230, sample_29_15, 1.85
2019-10-03-2230, sample_29_16, 1.25
2019-10-03-2230, sample_29_17, 1.65
