date,sample,OD600
2019-10-03-2230, sample_90_1, 0.58
2019-10-03-2230, sample_90_2, 1.05
2019-10-03-2230, sample_90_3, 1.09
2019-10-03-2230, sample_90_4, 1.85
2019-10-03-2230, sample_90_5, 1.69
2019-10-03-2230, sample_90_6, 1.92
2019-10-03-2230, sample_90_7, 1.91
2019-10-03-2230, sample_90_8, 0.3
2019-10-03-2230, sample_90_9, 0.77
2019-10-03-2230, sample_90_10, 1.22
2019-10-03-2230, sample_90_11, 1.85
2019-10-03-2230, sample_90_12, 1.73
2019-10-03-2230, sample_90_13, 0.04
2019-10-03-2230, sample_90_14, 0.6
