date,sample,OD600
2019-10-03-2230, sample_21_1, 0.67
2019-10-03-2230, sample_21_2, 0.08
2019-10-03-2230, sample_21_3, 1.88
2019-10-03-2230, sample_21_4, 1.97
2019-10-03-2230, sample_21_5, 0.48
2019-10-03-2230, sample_21_6, 0.2
2019-10-03-2230, sample_21_7, 0.15
2019-10-03-2230, sample_21_8, 1.11
2019-10-03-2230, sample_21_9, 0.47
2019-10-03-2230, sample_21_10, 0.4
2019-10-03-2230, sample_21_11, 1.53
2019-10-03-2230, sample_21_12, 1.31
2019-10-03-2230, sample_21_13, 1.71
2019-10-03-2230, sample_21_14, 1.53
2019-10-03-2230, sample_21_15, 1.41
2019-10-03-2230, sample_21_16, 1.42
2019-10-03-2230, sample_21_17, 0.35
2019-10-03-2230, sample_21_18, 1.89
2019-10-03-2230, sample_21_19, 1.08
2019-10-03-2230, sample_21_20, 1.17
2019-10-03-2230, sample_21_21, 0.09
