date,sample,OD600
2019-10-03-2230, sample_79_1, 0.56
2019-10-03-2230, sample_79_2, 1.67
2019-10-03-2230, sample_79_3, 1.86
2019-10-03-2230, sample_79_4, 0.66
2019-10-03-2230, sample_79_5, 0.85
2019-10-03-2230, sample_79_6, 1.38
2019-10-03-2230, sample_79_7, 1.87
2019-10-03-2230, sample_79_8, 1.39
2019-10-03-2230, sample_79_9, 1.93
2019-10-03-2230, sample_79_10, 0.96
2019-10-03-2230, sample_79_11, 0.72
2019-10-03-2230, sample_79_12, 0.93
2019-10-03-2230, sample_79_13, 0.01
2019-10-03-2230, sample_79_14, 0.48
2019-10-03-2230, sample_79_15, 0.89
2019-10-03-2230, sample_79_16, 1.83
2019-10-03-2230, sample_79_17, 0.85
2019-10-03-2230, sample_79_18, 1.43
2019-10-03-2230, sample_79_19, 0.73
2019-10-03-2230, sample_79_20, 0.44
2019-10-03-2230, sample_79_21, 0.04
2019-10-03-2230, sample_79_22, 1.1
2019-10-03-2230, sample_79_23, 0.28
2019-10-03-2230, sample_79_24, 1.52
2019-10-03-2230, sample_79_25, 0.64
2019-10-03-2230, sample_79_26, 0.68
2019-10-03-2230, sample_79_27, 1.33
2019-10-03-2230, sample_79_28, 0.74
2019-10-03-2230, sample_79_29, 0.4
2019-10-03-2230, sample_79_30, 0.6
