date,sample,OD600
2019-10-03-2230, sample_93_1, 1.48
2019-10-03-2230, sample_93_2, 1.82
2019-10-03-2230, sample_93_3, 0.24
2019-10-03-2230, sample_93_4, 0.34
2019-10-03-2230, sample_93_5, 0.19
2019-10-03-2230, sample_93_6, 1.23
2019-10-03-2230, sample_93_7, 1.71
2019-10-03-2230, sample_93_8, 0.01
2019-10-03-2230, sample_93_9, 1.04
2019-10-03-2230, sample_93_10, 0.07
2019-10-03-2230, sample_93_11, 0.33
2019-10-03-2230, sample_93_12, 0.28
2019-10-03-2230, sample_93_13, 1.94
2019-10-03-2230, sample_93_14, 1.84
2019-10-03-2230, sample_93_15, 0.1
2019-10-03-2230, sample_93_16, 1.45
2019-10-03-2230, sample_93_17, 1.61
2019-10-03-2230, sample_93_18, 0.33
2019-10-03-2230, sample_93_19, 2.0
2019-10-03-2230, sample_93_20, 0.58
2019-10-03-2230, sample_93_21, 1.68
2019-10-03-2230, sample_93_22, 1.75
2019-10-03-2230, sample_93_23, 0.27
2019-10-03-2230, sample_93_24, 0.07
2019-10-03-2230, sample_93_25, 1.2
