date,sample,OD600
2019-10-03-2230, sample_57_1, 1.01
2019-10-03-2230, sample_57_2, 0.94
2019-10-03-2230, sample_57_3, 1.68
2019-10-03-2230, sample_57_4, 1.31
2019-10-03-2230, sample_57_5, 0.24
2019-10-03-2230, sample_57_6, 0.26
2019-10-03-2230, sample_57_7, 0.65
2019-10-03-2230, sample_57_8, 1.14
2019-10-03-2230, sample_57_9, 0.92
2019-10-03-2230, sample_57_10, 0.62
2019-10-03-2230, sample_57_11, 0.23
2019-10-03-2230, sample_57_12, 0.3
2019-10-03-2230, sample_57_13, 0.42
2019-10-03-2230, sample_57_14, 0.86
2019-10-03-2230, sample_57_15, 1.91
2019-10-03-2230, sample_57_16, 0.24
2019-10-03-2230, sample_57_17, 1.3
