date,sample,OD600
2019-10-03-2230, sample_25_1, 0.23
2019-10-03-2230, sample_25_2, 0.66
2019-10-03-2230, sample_25_3, 1.28
2019-10-03-2230, sample_25_4, 0.25
2019-10-03-2230, sample_25_5, 0.07
2019-10-03-2230, sample_25_6, 1.98
2019-10-03-2230, sample_25_7, 0.81
2019-10-03-2230, sample_25_8, 1.73
2019-10-03-2230, sample_25_9, 0.99
2019-10-03-2230, sample_25_10, 0.23
2019-10-03-2230, sample_25_11, 1.63
2019-10-03-2230, sample_25_12, 1.09
2019-10-03-2230, sample_25_13, 1.32
2019-10-03-2230, sample_25_14, 0.8
2019-10-03-2230, sample_25_15, 0.84
2019-10-03-2230, sample_25_16, 1.92
2019-10-03-2230, sample_25_17, 0.81
2019-10-03-2230, sample_25_18, 1.95
2019-10-03-2230, sample_25_19, 0.78
2019-10-03-2230, sample_25_20, 0.76
2019-10-03-2230, sample_25_21, 0.92
2019-10-03-2230, sample_25_22, 0.12
2019-10-03-2230, sample_25_23, 1.09
2019-10-03-2230, sample_25_24, 0.85
2019-10-03-2230, sample_25_25, 0.93
2019-10-03-2230, sample_25_26, 0.77
2019-10-03-2230, sample_25_27, 0.43
2019-10-03-2230, sample_25_28, 0.78
2019-10-03-2230, sample_25_29, 0.83
2019-10-03-2230, sample_25_30, 0.29
2019-10-03-2230, sample_25_31, 0.66
2019-10-03-2230, sample_25_32, 1.27
2019-10-03-2230, sample_25_33, 1.6
2019-10-03-2230, sample_25_34, 1.22
