date,sample,OD600
2019-10-03-2230, sample_45_1, 0.29
2019-10-03-2230, sample_45_2, 1.09
2019-10-03-2230, sample_45_3, 0.27
2019-10-03-2230, sample_45_4, 1.94
2019-10-03-2230, sample_45_5, 0.86
2019-10-03-2230, sample_45_6, 1.61
2019-10-03-2230, sample_45_7, 1.0
2019-10-03-2230, sample_45_8, 0.76
2019-10-03-2230, sample_45_9, 1.95
2019-10-03-2230, sample_45_10, 1.02
2019-10-03-2230, sample_45_11, 0.63
2019-10-03-2230, sample_45_12, 0.59
2019-10-03-2230, sample_45_13, 0.25
2019-10-03-2230, sample_45_14, 1.63
2019-10-03-2230, sample_45_15, 1.73
2019-10-03-2230, sample_45_16, 0.94
2019-10-03-2230, sample_45_17, 1.14
2019-10-03-2230, sample_45_18, 0.0
2019-10-03-2230, sample_45_19, 1.45
2019-10-03-2230, sample_45_20, 0.47
2019-10-03-2230, sample_45_21, 1.89
2019-10-03-2230, sample_45_22, 0.69
2019-10-03-2230, sample_45_23, 0.82
2019-10-03-2230, sample_45_24, 1.4
2019-10-03-2230, sample_45_25, 1.62
2019-10-03-2230, sample_45_26, 1.3
2019-10-03-2230, sample_45_27, 0.95
2019-10-03-2230, sample_45_28, 1.58
2019-10-03-2230, sample_45_29, 1.78
