date,sample,OD600
2019-10-03-2230, sample_95_1, 0.47
2019-10-03-2230, sample_95_2, 1.74
2019-10-03-2230, sample_95_3, 1.27
2019-10-03-2230, sample_95_4, 0.55
2019-10-03-2230, sample_95_5, 1.78
2019-10-03-2230, sample_95_6, 1.14
2019-10-03-2230, sample_95_7, 1.06
2019-10-03-2230, sample_95_8, 0.74
2019-10-03-2230, sample_95_9, 0.84
2019-10-03-2230, sample_95_10, 1.3
2019-10-03-2230, sample_95_11, 1.04
2019-10-03-2230, sample_95_12, 1.76
2019-10-03-2230, sample_95_13, 0.33
2019-10-03-2230, sample_95_14, 0.97
2019-10-03-2230, sample_95_15, 1.29
2019-10-03-2230, sample_95_16, 1.77
2019-10-03-2230, sample_95_17, 1.5
2019-10-03-2230, sample_95_18, 0.19
2019-10-03-2230, sample_95_19, 0.7
2019-10-03-2230, sample_95_20, 1.45
