date,sample,OD600
2019-10-03-2230, sample_41_1, 1.39
2019-10-03-2230, sample_41_2, 1.57
2019-10-03-2230, sample_41_3, 1.35
2019-10-03-2230, sample_41_4, 1.97
2019-10-03-2230, sample_41_5, 0.3
2019-10-03-2230, sample_41_6, 0.77
2019-10-03-2230, sample_41_7, 0.45
2019-10-03-2230, sample_41_8, 1.26
2019-10-03-2230, sample_41_9, 0.02
2019-10-03-2230, sample_41_10, 1.92
2019-10-03-2230, sample_41_11, 0.43
2019-10-03-2230, sample_41_12, 1.31
2019-10-03-2230, sample_41_13, 1.11
2019-10-03-2230, sample_41_14, 0.98
2019-10-03-2230, sample_41_15, 1.62
2019-10-03-2230, sample_41_16, 0.14
2019-10-03-2230, sample_41_17, 0.19
2019-10-03-2230, sample_41_18, 1.16
