date,sample,OD600
2019-10-03-2230, sample_37_1, 1.27
2019-10-03-2230, sample_37_2, 0.77
2019-10-03-2230, sample_37_3, 0.03
2019-10-03-2230, sample_37_4, 1.02
2019-10-03-2230, sample_37_5, 1.74
2019-10-03-2230, sample_37_6, 1.64
2019-10-03-2230, sample_37_7, 1.29
2019-10-03-2230, sample_37_8, 1.74
2019-10-03-2230, sample_37_9, 1.13
2019-10-03-2230, sample_37_10, 0.73
2019-10-03-2230, sample_37_11, 1.89
2019-10-03-2230, sample_37_12, 0.84
2019-10-03-2230, sample_37_13, 1.97
2019-10-03-2230, sample_37_14, 0.17
2019-10-03-2230, sample_37_15, 0.52
2019-10-03-2230, sample_37_16, 1.19
2019-10-03-2230, sample_37_17, 1.22
2019-10-03-2230, sample_37_18, 1.08
2019-10-03-2230, sample_37_19, 1.63
