date,sample,OD600
2019-10-03-2230, sample_53_1, 1.22
2019-10-03-2230, sample_53_2, 0.83
2019-10-03-2230, sample_53_3, 0.27
2019-10-03-2230, sample_53_4, 0.11
2019-10-03-2230, sample_53_5, 1.95
2019-10-03-2230, sample_53_6, 1.81
2019-10-03-2230, sample_53_7, 1.8
2019-10-03-2230, sample_53_8, 1.16
2019-10-03-2230, sample_53_9, 1.01
2019-10-03-2230, sample_53_10, 0.73
2019-10-03-2230, sample_53_11, 1.16
2019-10-03-2230, sample_53_12, 1.17
2019-10-03-2230, sample_53_13, 0.43
2019-10-03-2230, sample_53_14, 0.25
2019-10-03-2230, sample_53_15, 1.83
2019-10-03-2230, sample_53_16, 0.97
2019-10-03-2230, sample_53_17, 0.97
2019-10-03-2230, sample_53_18, 1.0
2019-10-03-2230, sample_53_19, 1.39
2019-10-03-2230, sample_53_20, 1.27
2019-10-03-2230, sample_53_21, 1.3
2019-10-03-2230, sample_53_22, 1.58
2019-10-03-2230, sample_53_23, 1.5
2019-10-03-2230, sample_53_24, 1.7
2019-10-03-2230, sample_53_25, 0.07
2019-10-03-2230, sample_53_26, 1.18
2019-10-03-2230, sample_53_27, 1.02
2019-10-03-2230, sample_53_28, 1.38
2019-10-03-2230, sample_53_29, 0.21
2019-10-03-2230, sample_53_30, 0.77
2019-10-03-2230, sample_53_31, 0.77
2019-10-03-2230, sample_53_32, 0.95
