date,sample,OD600
2019-10-03-2230, sample_75_1, 1.78
2019-10-03-2230, sample_75_2, 1.3
2019-10-03-2230, sample_75_3, 1.55
2019-10-03-2230, sample_75_4, 0.61
2019-10-03-2230, sample_75_5, 1.01
2019-10-03-2230, sample_75_6, 0.47
2019-10-03-2230, sample_75_7, 0.85
2019-10-03-2230, sample_75_8, 1.99
2019-10-03-2230, sample_75_9, 1.05
2019-10-03-2230, sample_75_10, 2.0
2019-10-03-2230, sample_75_11, 0.08
2019-10-03-2230, sample_75_12, 1.19
2019-10-03-2230, sample_75_13, 0.52
2019-10-03-2230, sample_75_14, 1.07
2019-10-03-2230, sample_75_15, 1.9
2019-10-03-2230, sample_75_16, 1.22
2019-10-03-2230, sample_75_17, 1.11
2019-10-03-2230, sample_75_18, 1.25
2019-10-03-2230, sample_75_19, 0.6
2019-10-03-2230, sample_75_20, 1.9
2019-10-03-2230, sample_75_21, 1.99
2019-10-03-2230, sample_75_22, 0.63
2019-10-03-2230, sample_75_23, 1.42
2019-10-03-2230, sample_75_24, 0.93
2019-10-03-2230, sample_75_25, 0.08
2019-10-03-2230, sample_75_26, 1.45
