date,sample,OD600
2019-10-03-2230, sample_17_1, 0.68
2019-10-03-2230, sample_17_2, 1.03
2019-10-03-2230, sample_17_3, 0.17
2019-10-03-2230, sample_17_4, 0.7
2019-10-03-2230, sample_17_5, 1.54
2019-10-03-2230, sample_17_6, 1.78
2019-10-03-2230, sample_17_7, 0.89
2019-10-03-2230, sample_17_8, 0.04
2019-10-03-2230, sample_17_9, 0.21
2019-10-03-2230, sample_17_10, 1.38
2019-10-03-2230, sample_17_11, 0.09
2019-10-03-2230, sample_17_12, 0.3
2019-10-03-2230, sample_17_13, 0.54
2019-10-03-2230, sample_17_14, 0.33
2019-10-03-2230, sample_17_15, 0.11
2019-10-03-2230, sample_17_16, 1.33
2019-10-03-2230, sample_17_17, 0.13
2019-10-03-2230, sample_17_18, 0.02
2019-10-03-2230, sample_17_19, 0.15
2019-10-03-2230, sample_17_20, 1.34
2019-10-03-2230, sample_17_21, 1.89
2019-10-03-2230, sample_17_22, 0.41
2019-10-03-2230, sample_17_23, 0.63
2019-10-03-2230, sample_17_24, 1.66
2019-10-03-2230, sample_17_25, 0.92
