date,sample,OD600
2019-10-03-2230, sample_32_1, 0.1
2019-10-03-2230, sample_32_2, 0.75
2019-10-03-2230, sample_32_3, 0.06
2019-10-03-2230, sample_32_4, 1.34
2019-10-03-2230, sample_32_5, 0.54
2019-10-03-2230, sample_32_6, 0.57
2019-10-03-2230, sample_32_7, 0.19
2019-10-03-2230, sample_32_8, 0.48
2019-10-03-2230, sample_32_9, 0.64
2019-10-03-2230, sample_32_10, 0.18
2019-10-03-2230, sample_32_11, 1.41
2019-10-03-2230, sample_32_12, 1.04
2019-10-03-2230, sample_32_13, 1.88
2019-10-03-2230, sample_32_14, 0.46
2019-10-03-2230, sample_32_15, 1.24
2019-10-03-2230, sample_32_16, 0.18
2019-10-03-2230, sample_32_17, 0.21
2019-10-03-2230, sample_32_18, 0.99
2019-10-03-2230, sample_32_19, 1.07
2019-10-03-2230, sample_32_20, 0.75
2019-10-03-2230, sample_32_21, 1.16
2019-10-03-2230, sample_32_22, 1.88
2019-10-03-2230, sample_32_23, 1.37
2019-10-03-2230, sample_32_24, 0.42
2019-10-03-2230, sample_32_25, 0.27
2019-10-03-2230, sample_32_26, 1.61
2019-10-03-2230, sample_32_27, 0.28
2019-10-03-2230, sample_32_28, 1.56
2019-10-03-2230, sample_32_29, 0.54
2019-10-03-2230, sample_32_30, 0.27
2019-10-03-2230, sample_32_31, 1.03
2019-10-03-2230, sample_32_32, 0.25
2019-10-03-2230, sample_32_33, 0.28
2019-10-03-2230, sample_32_34, 1.07
2019-10-03-2230, sample_32_35, 1.62
2019-10-03-2230, sample_32_36, 1.43
2019-10-03-2230, sample_32_37, 0.68
2019-10-03-2230, sample_32_38, 1.81
2019-10-03-2230, sample_32_39, 1.74
