date,sample,OD600
2019-10-03-2230, sample_60_1, 1.15
2019-10-03-2230, sample_60_2, 0.28
2019-10-03-2230, sample_60_3, 0.89
2019-10-03-2230, sample_60_4, 0.31
2019-10-03-2230, sample_60_5, 0.28
2019-10-03-2230, sample_60_6, 1.99
2019-10-03-2230, sample_60_7, 1.78
2019-10-03-2230, sample_60_8, 0.86
2019-10-03-2230, sample_60_9, 1.55
2019-10-03-2230, sample_60_10, 1.55
2019-10-03-2230, sample_60_11, 0.07
2019-10-03-2230, sample_60_12, 0.0
2019-10-03-2230, sample_60_13, 1.34
2019-10-03-2230, sample_60_14, 0.68
2019-10-03-2230, sample_60_15, 1.62
2019-10-03-2230, sample_60_16, 0.95
2019-10-03-2230, sample_60_17, 1.35
2019-10-03-2230, sample_60_18, 0.45
2019-10-03-2230, sample_60_19, 1.54
2019-10-03-2230, sample_60_20, 1.57
2019-10-03-2230, sample_60_21, 0.5
2019-10-03-2230, sample_60_22, 1.75
