date,sample,OD600
2019-10-03-2230, sample_81_1, 1.71
2019-10-03-2230, sample_81_2, 1.16
2019-10-03-2230, sample_81_3, 0.14
2019-10-03-2230, sample_81_4, 1.75
2019-10-03-2230, sample_81_5, 1.44
2019-10-03-2230, sample_81_6, 1.95
2019-10-03-2230, sample_81_7, 0.75
2019-10-03-2230, sample_81_8, 0.12
2019-10-03-2230, sample_81_9, 1.79
2019-10-03-2230, sample_81_10, 0.93
2019-10-03-2230, sample_81_11, 0.56
2019-10-03-2230, sample_81_12, 1.77
2019-10-03-2230, sample_81_13, 0.92
2019-10-03-2230, sample_81_14, 1.21
2019-10-03-2230, sample_81_15, 1.18
2019-10-03-2230, sample_81_16, 1.3
2019-10-03-2230, sample_81_17, 1.26
2019-10-03-2230, sample_81_18, 0.13
2019-10-03-2230, sample_81_19, 1.57
2019-10-03-2230, sample_81_20, 0.5
