date,sample,OD600
2019-10-03-2230, sample_47_1, 1.8
2019-10-03-2230, sample_47_2, 1.29
2019-10-03-2230, sample_47_3, 1.0
2019-10-03-2230, sample_47_4, 0.88
2019-10-03-2230, sample_47_5, 1.4
2019-10-03-2230, sample_47_6, 0.38
2019-10-03-2230, sample_47_7, 0.62
2019-10-03-2230, sample_47_8, 0.23
2019-10-03-2230, sample_47_9, 1.35
2019-10-03-2230, sample_47_10, 0.59
2019-10-03-2230, sample_47_11, 1.7
2019-10-03-2230, sample_47_12, 1.0
2019-10-03-2230, sample_47_13, 1.74
2019-10-03-2230, sample_47_14, 1.87
2019-10-03-2230, sample_47_15, 1.61
2019-10-03-2230, sample_47_16, 1.73
2019-10-03-2230, sample_47_17, 1.16
2019-10-03-2230, sample_47_18, 0.79
2019-10-03-2230, sample_47_19, 1.18
2019-10-03-2230, sample_47_20, 0.93
2019-10-03-2230, sample_47_21, 1.25
2019-10-03-2230, sample_47_22, 1.41
2019-10-03-2230, sample_47_23, 0.23
2019-10-03-2230, sample_47_24, 0.01
2019-10-03-2230, sample_47_25, 0.24
