date,sample,OD600
2019-10-03-2230, sample_23_1, 1.99
2019-10-03-2230, sample_23_2, 1.91
2019-10-03-2230, sample_23_3, 1.85
2019-10-03-2230, sample_23_4, 1.75
2019-10-03-2230, sample_23_5, 1.94
2019-10-03-2230, sample_23_6, 0.66
2019-10-03-2230, sample_23_7, 1.01
2019-10-03-2230, sample_23_8, 0.26
2019-10-03-2230, sample_23_9, 0.51
2019-10-03-2230, sample_23_10, 0.45
2019-10-03-2230, sample_23_11, 0.4
2019-10-03-2230, sample_23_12, 0.93
2019-10-03-2230, sample_23_13, 0.12
2019-10-03-2230, sample_23_14, 1.99
2019-10-03-2230, sample_23_15, 1.11
2019-10-03-2230, sample_23_16, 0.34
