date,sample,OD600
2019-10-03-2230, sample_92_1, 1.0
2019-10-03-2230, sample_92_2, 1.4
2019-10-03-2230, sample_92_3, 1.02
2019-10-03-2230, sample_92_4, 1.11
2019-10-03-2230, sample_92_5, 1.77
2019-10-03-2230, sample_92_6, 0.08
2019-10-03-2230, sample_92_7, 1.47
2019-10-03-2230, sample_92_8, 0.94
2019-10-03-2230, sample_92_9, 0.38
2019-10-03-2230, sample_92_10, 0.6
2019-10-03-2230, sample_92_11, 0.61
2019-10-03-2230, sample_92_12, 0.14
2019-10-03-2230, sample_92_13, 0.42
2019-10-03-2230, sample_92_14, 1.87
2019-10-03-2230, sample_92_15, 0.62
2019-10-03-2230, sample_92_16, 1.25
2019-10-03-2230, sample_92_17, 0.47
2019-10-03-2230, sample_92_18, 1.63
