date,sample,OD600
2019-10-03-2230, sample_59_1, 0.43
2019-10-03-2230, sample_59_2, 1.04
2019-10-03-2230, sample_59_3, 1.12
2019-10-03-2230, sample_59_4, 0.02
2019-10-03-2230, sample_59_5, 0.82
2019-10-03-2230, sample_59_6, 1.6
2019-10-03-2230, sample_59_7, 1.16
2019-10-03-2230, sample_59_8, 0.35
2019-10-03-2230, sample_59_9, 1.55
2019-10-03-2230, sample_59_10, 1.51
2019-10-03-2230, sample_59_11, 1.38
2019-10-03-2230, sample_59_12, 1.27
2019-10-03-2230, sample_59_13, 1.08
2019-10-03-2230, sample_59_14, 1.06
2019-10-03-2230, sample_59_15, 0.44
2019-10-03-2230, sample_59_16, 1.39
2019-10-03-2230, sample_59_17, 0.84
2019-10-03-2230, sample_59_18, 1.68
2019-10-03-2230, sample_59_19, 0.48
2019-10-03-2230, sample_59_20, 0.14
2019-10-03-2230, sample_59_21, 0.39
2019-10-03-2230, sample_59_22, 0.07
2019-10-03-2230, sample_59_23, 1.55
2019-10-03-2230, sample_59_24, 1.3
2019-10-03-2230, sample_59_25, 1.22
2019-10-03-2230, sample_59_26, 1.16
2019-10-03-2230, sample_59_27, 1.95
2019-10-03-2230, sample_59_28, 1.51
2019-10-03-2230, sample_59_29, 1.92
2019-10-03-2230, sample_59_30, 0.71
2019-10-03-2230, sample_59_31, 0.95
2019-10-03-2230, sample_59_32, 0.03
2019-10-03-2230, sample_59_33, 1.66
