date,sample,OD600
2019-10-03-2230, sample_76_1, 0.9
2019-10-03-2230, sample_76_2, 1.94
2019-10-03-2230, sample_76_3, 0.56
2019-10-03-2230, sample_76_4, 0.17
2019-10-03-2230, sample_76_5, 0.96
2019-10-03-2230, sample_76_6, 1.77
2019-10-03-2230, sample_76_7, 1.14
2019-10-03-2230, sample_76_8, 0.18
2019-10-03-2230, sample_76_9, 1.06
2019-10-03-2230, sample_76_10, 1.74
2019-10-03-2230, sample_76_11, 0.65
2019-10-03-2230, sample_76_12, 1.68
2019-10-03-2230, sample_76_13, 1.7
2019-10-03-2230, sample_76_14, 0.11
2019-10-03-2230, sample_76_15, 0.58
2019-10-03-2230, sample_76_16, 1.68
2019-10-03-2230, sample_76_17, 1.23
2019-10-03-2230, sample_76_18, 0.08
2019-10-03-2230, sample_76_19, 0.98
2019-10-03-2230, sample_76_20, 1.65
2019-10-03-2230, sample_76_21, 1.8
2019-10-03-2230, sample_76_22, 0.97
2019-10-03-2230, sample_76_23, 0.31
2019-10-03-2230, sample_76_24, 1.03
2019-10-03-2230, sample_76_25, 0.86
2019-10-03-2230, sample_76_26, 0.05
2019-10-03-2230, sample_76_27, 1.42
2019-10-03-2230, sample_76_28, 0.21
2019-10-03-2230, sample_76_29, 0.92
2019-10-03-2230, sample_76_30, 0.41
2019-10-03-2230, sample_76_31, 1.66
2019-10-03-2230, sample_76_32, 2.0
