date,sample,OD600
2019-10-03-2230, sample_42_1, 0.44
2019-10-03-2230, sample_42_2, 1.45
2019-10-03-2230, sample_42_3, 0.82
2019-10-03-2230, sample_42_4, 0.4
2019-10-03-2230, sample_42_5, 0.21
2019-10-03-2230, sample_42_6, 0.86
2019-10-03-2230, sample_42_7, 1.92
2019-10-03-2230, sample_42_8, 1.53
2019-10-03-2230, sample_42_9, 0.57
2019-10-03-2230, sample_42_10, 0.35
2019-10-03-2230, sample_42_11, 1.3
2019-10-03-2230, sample_42_12, 1.27
2019-10-03-2230, sample_42_13, 0.26
2019-10-03-2230, sample_42_14, 1.97
2019-10-03-2230, sample_42_15, 0.11
2019-10-03-2230, sample_42_16, 0.8
2019-10-03-2230, sample_42_17, 1.41
2019-10-03-2230, sample_42_18, 1.13
2019-10-03-2230, sample_42_19, 1.18
2019-10-03-2230, sample_42_20, 1.32
2019-10-03-2230, sample_42_21, 2.0
2019-10-03-2230, sample_42_22, 1.82
2019-10-03-2230, sample_42_23, 1.82
2019-10-03-2230, sample_42_24, 0.11
2019-10-03-2230, sample_42_25, 1.39
2019-10-03-2230, sample_42_26, 1.37
2019-10-03-2230, sample_42_27, 0.26
2019-10-03-2230, sample_42_28, 1.56
