date,sample,OD600
2019-10-03-2230, sample_68_1, 0.25
2019-10-03-2230, sample_68_2, 1.26
2019-10-03-2230, sample_68_3, 1.97
2019-10-03-2230, sample_68_4, 0.74
2019-10-03-2230, sample_68_5, 0.6
2019-10-03-2230, sample_68_6, 1.58
2019-10-03-2230, sample_68_7, 1.64
2019-10-03-2230, sample_68_8, 0.5
2019-10-03-2230, sample_68_9, 0.34
2019-10-03-2230, sample_68_10, 0.31
2019-10-03-2230, sample_68_11, 1.92
2019-10-03-2230, sample_68_12, 0.22
2019-10-03-2230, sample_68_13, 1.83
2019-10-03-2230, sample_68_14, 0.3
2019-10-03-2230, sample_68_15, 0.73
2019-10-03-2230, sample_68_16, 1.09
2019-10-03-2230, sample_68_17, 1.68
2019-10-03-2230, sample_68_18, 0.03
2019-10-03-2230, sample_68_19, 0.26
2019-10-03-2230, sample_68_20, 0.19
2019-10-03-2230, sample_68_21, 0.99
2019-10-03-2230, sample_68_22, 0.06
2019-10-03-2230, sample_68_23, 0.12
2019-10-03-2230, sample_68_24, 0.41
2019-10-03-2230, sample_68_25, 0.61
2019-10-03-2230, sample_68_26, 0.5
2019-10-03-2230, sample_68_27, 0.62
2019-10-03-2230, sample_68_28, 1.49
2019-10-03-2230, sample_68_29, 0.81
2019-10-03-2230, sample_68_30, 1.5
2019-10-03-2230, sample_68_31, 1.78
2019-10-03-2230, sample_68_32, 1.75
2019-10-03-2230, sample_68_33, 1.44
2019-10-03-2230, sample_68_34, 0.65
2019-10-03-2230, sample_68_35, 0.02
