date,sample,OD600
2019-10-03-2230, sample_11_1, 1.58
2019-10-03-2230, sample_11_2, 0.53
2019-10-03-2230, sample_11_3, 1.23
2019-10-03-2230, sample_11_4, 1.03
2019-10-03-2230, sample_11_5, 1.72
2019-10-03-2230, sample_11_6, 1.16
2019-10-03-2230, sample_11_7, 1.86
2019-10-03-2230, sample_11_8, 1.86
2019-10-03-2230, sample_11_9, 0.0
2019-10-03-2230, sample_11_10, 1.39
2019-10-03-2230, sample_11_11, 1.67
2019-10-03-2230, sample_11_12, 0.34
2019-10-03-2230, sample_11_13, 0.35
2019-10-03-2230, sample_11_14, 0.22
2019-10-03-2230, sample_11_15, 1.81
2019-10-03-2230, sample_11_16, 1.0
2019-10-03-2230, sample_11_17, 1.64
2019-10-03-2230, sample_11_18, 0.85
2019-10-03-2230, sample_11_19, 1.62
2019-10-03-2230, sample_11_20, 0.33
2019-10-03-2230, sample_11_21, 1.0
2019-10-03-2230, sample_11_22, 1.3
2019-10-03-2230, sample_11_23, 1.0
