date,sample,OD600
2019-10-03-2230, sample_49_1, 1.01
2019-10-03-2230, sample_49_2, 1.65
2019-10-03-2230, sample_49_3, 1.25
2019-10-03-2230, sample_49_4, 0.39
2019-10-03-2230, sample_49_5, 1.21
2019-10-03-2230, sample_49_6, 0.86
2019-10-03-2230, sample_49_7, 0.51
2019-10-03-2230, sample_49_8, 1.74
2019-10-03-2230, sample_49_9, 0.3
2019-10-03-2230, sample_49_10, 0.35
2019-10-03-2230, sample_49_11, 1.87
2019-10-03-2230, sample_49_12, 1.36
2019-10-03-2230, sample_49_13, 1.28
2019-10-03-2230, sample_49_14, 0.32
2019-10-03-2230, sample_49_15, 0.2
2019-10-03-2230, sample_49_16, 0.85
2019-10-03-2230, sample_49_17, 0.31
2019-10-03-2230, sample_49_18, 1.36
2019-10-03-2230, sample_49_19, 0.62
2019-10-03-2230, sample_49_20, 0.86
2019-10-03-2230, sample_49_21, 1.43
2019-10-03-2230, sample_49_22, 1.13
2019-10-03-2230, sample_49_23, 1.04
2019-10-03-2230, sample_49_24, 0.77
2019-10-03-2230, sample_49_25, 0.99
