date,sample,OD600
2019-10-03-2230, sample_87_1, 1.0
2019-10-03-2230, sample_87_2, 0.87
2019-10-03-2230, sample_87_3, 1.42
2019-10-03-2230, sample_87_4, 0.16
2019-10-03-2230, sample_87_5, 1.18
2019-10-03-2230, sample_87_6, 0.8
2019-10-03-2230, sample_87_7, 1.57
2019-10-03-2230, sample_87_8, 1.96
2019-10-03-2230, sample_87_9, 1.83
2019-10-03-2230, sample_87_10, 0.72
2019-10-03-2230, sample_87_11, 0.69
2019-10-03-2230, sample_87_12, 1.73
2019-10-03-2230, sample_87_13, 1.94
2019-10-03-2230, sample_87_14, 0.33
2019-10-03-2230, sample_87_15, 0.35
2019-10-03-2230, sample_87_16, 1.65
2019-10-03-2230, sample_87_17, 0.61
2019-10-03-2230, sample_87_18, 1.33
2019-10-03-2230, sample_87_19, 1.78
2019-10-03-2230, sample_87_20, 1.18
2019-10-03-2230, sample_87_21, 1.14
2019-10-03-2230, sample_87_22, 1.23
2019-10-03-2230, sample_87_23, 0.14
2019-10-03-2230, sample_87_24, 0.93
2019-10-03-2230, sample_87_25, 0.68
2019-10-03-2230, sample_87_26, 0.68
2019-10-03-2230, sample_87_27, 0.32
2019-10-03-2230, sample_87_28, 1.36
2019-10-03-2230, sample_87_29, 1.53
2019-10-03-2230, sample_87_30, 0.22
2019-10-03-2230, sample_87_31, 0.99
2019-10-03-2230, sample_87_32, 1.21
