date,sample,OD600
2019-10-03-2230, sample_84_1, 0.36
2019-10-03-2230, sample_84_2, 1.15
2019-10-03-2230, sample_84_3, 1.32
2019-10-03-2230, sample_84_4, 1.28
2019-10-03-2230, sample_84_5, 1.46
2019-10-03-2230, sample_84_6, 1.84
2019-10-03-2230, sample_84_7, 0.23
2019-10-03-2230, sample_84_8, 1.48
2019-10-03-2230, sample_84_9, 0.53
2019-10-03-2230, sample_84_10, 0.38
2019-10-03-2230, sample_84_11, 1.6
2019-10-03-2230, sample_84_12, 1.93
2019-10-03-2230, sample_84_13, 1.64
2019-10-03-2230, sample_84_14, 0.91
2019-10-03-2230, sample_84_15, 0.46
2019-10-03-2230, sample_84_16, 1.23
2019-10-03-2230, sample_84_17, 0.42
2019-10-03-2230, sample_84_18, 1.08
2019-10-03-2230, sample_84_19, 1.46
2019-10-03-2230, sample_84_20, 0.78
2019-10-03-2230, sample_84_21, 0.24
2019-10-03-2230, sample_84_22, 1.07
2019-10-03-2230, sample_84_23, 0.69
2019-10-03-2230, sample_84_24, 0.04
2019-10-03-2230, sample_84_25, 1.36
2019-10-03-2230, sample_84_26, 1.53
2019-10-03-2230, sample_84_27, 1.3
2019-10-03-2230, sample_84_28, 1.14
2019-10-03-2230, sample_84_29, 0.32
2019-10-03-2230, sample_84_30, 1.19
2019-10-03-2230, sample_84_31, 0.19
2019-10-03-2230, sample_84_32, 1.53
2019-10-03-2230, sample_84_33, 0.03
2019-10-03-2230, sample_84_34, 1.52
2019-10-03-2230, sample_84_35, 0.86
2019-10-03-2230, sample_84_36, 0.48
