date,sample,OD600
2019-10-03-2230, sample_14_1, 1.57
2019-10-03-2230, sample_14_2, 1.87
2019-10-03-2230, sample_14_3, 1.15
2019-10-03-2230, sample_14_4, 1.46
2019-10-03-2230, sample_14_5, 0.99
2019-10-03-2230, sample_14_6, 0.63
2019-10-03-2230, sample_14_7, 0.99
2019-10-03-2230, sample_14_8, 0.02
2019-10-03-2230, sample_14_9, 0.56
2019-10-03-2230, sample_14_10, 1.54
2019-10-03-2230, sample_14_11, 0.87
2019-10-03-2230, sample_14_12, 1.8
2019-10-03-2230, sample_14_13, 1.82
2019-10-03-2230, sample_14_14, 1.79
2019-10-03-2230, sample_14_15, 1.77
