date,sample,OD600
2019-10-03-2230, sample_26_1, 1.92
2019-10-03-2230, sample_26_2, 1.29
2019-10-03-2230, sample_26_3, 0.95
2019-10-03-2230, sample_26_4, 0.87
2019-10-03-2230, sample_26_5, 0.07
2019-10-03-2230, sample_26_6, 0.07
2019-10-03-2230, sample_26_7, 1.04
2019-10-03-2230, sample_26_8, 1.05
2019-10-03-2230, sample_26_9, 1.77
2019-10-03-2230, sample_26_10, 0.02
2019-10-03-2230, sample_26_11, 1.62
2019-10-03-2230, sample_26_12, 0.99
2019-10-03-2230, sample_26_13, 0.65
2019-10-03-2230, sample_26_14, 0.59
2019-10-03-2230, sample_26_15, 1.93
2019-10-03-2230, sample_26_16, 1.43
2019-10-03-2230, sample_26_17, 0.12
2019-10-03-2230, sample_26_18, 1.11
2019-10-03-2230, sample_26_19, 1.4
2019-10-03-2230, sample_26_20, 0.07
2019-10-03-2230, sample_26_21, 0.56
2019-10-03-2230, sample_26_22, 1.06
2019-10-03-2230, sample_26_23, 1.4
2019-10-03-2230, sample_26_24, 1.23
2019-10-03-2230, sample_26_25, 0.95
2019-10-03-2230, sample_26_26, 0.89
2019-10-03-2230, sample_26_27, 0.06
2019-10-03-2230, sample_26_28, 0.02
2019-10-03-2230, sample_26_29, 0.35
2019-10-03-2230, sample_26_30, 0.17
2019-10-03-2230, sample_26_31, 1.95
2019-10-03-2230, sample_26_32, 1.54
2019-10-03-2230, sample_26_33, 1.03
2019-10-03-2230, sample_26_34, 1.51
2019-10-03-2230, sample_26_35, 1.14
2019-10-03-2230, sample_26_36, 0.19
2019-10-03-2230, sample_26_37, 0.86
2019-10-03-2230, sample_26_38, 1.2
