date,sample,OD600
2019-10-03-2230, sample_9_1, 0.28
2019-10-03-2230, sample_9_2, 1.09
2019-10-03-2230, sample_9_3, 1.72
2019-10-03-2230, sample_9_4, 0.21
2019-10-03-2230, sample_9_5, 1.76
2019-10-03-2230, sample_9_6, 0.04
2019-10-03-2230, sample_9_7, 1.23
2019-10-03-2230, sample_9_8, 1.74
2019-10-03-2230, sample_9_9, 0.88
2019-10-03-2230, sample_9_10, 0.84
2019-10-03-2230, sample_9_11, 1.88
2019-10-03-2230, sample_9_12, 1.03
2019-10-03-2230, sample_9_13, 0.9
2019-10-03-2230, sample_9_14, 1.44
2019-10-03-2230, sample_9_15, 1.79
2019-10-03-2230, sample_9_16, 1.52
2019-10-03-2230, sample_9_17, 1.17
2019-10-03-2230, sample_9_18, 1.45
2019-10-03-2230, sample_9_19, 0.71
2019-10-03-2230, sample_9_20, 0.72
2019-10-03-2230, sample_9_21, 1.22
