date,sample,OD600
2019-10-03-2230, sample_48_1, 0.52
2019-10-03-2230, sample_48_2, 1.92
2019-10-03-2230, sample_48_3, 0.8
2019-10-03-2230, sample_48_4, 1.43
2019-10-03-2230, sample_48_5, 1.34
2019-10-03-2230, sample_48_6, 1.22
2019-10-03-2230, sample_48_7, 0.13
2019-10-03-2230, sample_48_8, 1.09
2019-10-03-2230, sample_48_9, 1.22
2019-10-03-2230, sample_48_10, 1.39
2019-10-03-2230, sample_48_11, 1.73
2019-10-03-2230, sample_48_12, 1.61
2019-10-03-2230, sample_48_13, 0.04
2019-10-03-2230, sample_48_14, 1.98
2019-10-03-2230, sample_48_15, 0.52
2019-10-03-2230, sample_48_16, 2.0
2019-10-03-2230, sample_48_17, 1.64
2019-10-03-2230, sample_48_18, 0.84
2019-10-03-2230, sample_48_19, 1.76
2019-10-03-2230, sample_48_20, 0.45
2019-10-03-2230, sample_48_21, 1.02
2019-10-03-2230, sample_48_22, 0.11
2019-10-03-2230, sample_48_23, 1.25
2019-10-03-2230, sample_48_24, 0.34
2019-10-03-2230, sample_48_25, 1.64
2019-10-03-2230, sample_48_26, 0.35
2019-10-03-2230, sample_48_27, 1.77
2019-10-03-2230, sample_48_28, 1.52
2019-10-03-2230, sample_48_29, 0.42
2019-10-03-2230, sample_48_30, 1.84
2019-10-03-2230, sample_48_31, 0.27
2019-10-03-2230, sample_48_32, 1.99
2019-10-03-2230, sample_48_33, 0.15
2019-10-03-2230, sample_48_34, 0.41
