date,sample,OD600
2019-10-03-2230, sample_71_1, 1.24
2019-10-03-2230, sample_71_2, 1.39
2019-10-03-2230, sample_71_3, 1.37
2019-10-03-2230, sample_71_4, 1.06
2019-10-03-2230, sample_71_5, 1.91
2019-10-03-2230, sample_71_6, 1.36
2019-10-03-2230, sample_71_7, 0.78
2019-10-03-2230, sample_71_8, 1.05
2019-10-03-2230, sample_71_9, 0.19
2019-10-03-2230, sample_71_10, 0.69
2019-10-03-2230, sample_71_11, 0.2
2019-10-03-2230, sample_71_12, 1.6
2019-10-03-2230, sample_71_13, 1.35
2019-10-03-2230, sample_71_14, 0.21
2019-10-03-2230, sample_71_15, 0.58
2019-10-03-2230, sample_71_16, 1.79
2019-10-03-2230, sample_71_17, 1.48
2019-10-03-2230, sample_71_18, 1.73
2019-10-03-2230, sample_71_19, 1.8
2019-10-03-2230, sample_71_20, 0.36
2019-10-03-2230, sample_71_21, 0.84
