date,sample,OD600
2019-10-03-2230, sample_89_1, 1.74
2019-10-03-2230, sample_89_2, 0.68
2019-10-03-2230, sample_89_3, 0.7
2019-10-03-2230, sample_89_4, 1.62
2019-10-03-2230, sample_89_5, 0.58
2019-10-03-2230, sample_89_6, 0.8
2019-10-03-2230, sample_89_7, 0.84
2019-10-03-2230, sample_89_8, 1.94
2019-10-03-2230, sample_89_9, 1.04
2019-10-03-2230, sample_89_10, 1.67
2019-10-03-2230, sample_89_11, 0.72
2019-10-03-2230, sample_89_12, 0.4
2019-10-03-2230, sample_89_13, 1.04
2019-10-03-2230, sample_89_14, 0.9
2019-10-03-2230, sample_89_15, 1.62
2019-10-03-2230, sample_89_16, 0.34
2019-10-03-2230, sample_89_17, 1.19
2019-10-03-2230, sample_89_18, 0.73
2019-10-03-2230, sample_89_19, 0.75
