date,sample,OD600
2019-10-03-2230, sample_50_1, 0.2
2019-10-03-2230, sample_50_2, 0.45
2019-10-03-2230, sample_50_3, 0.52
2019-10-03-2230, sample_50_4, 0.41
2019-10-03-2230, sample_50_5, 0.95
2019-10-03-2230, sample_50_6, 0.5
2019-10-03-2230, sample_50_7, 0.74
2019-10-03-2230, sample_50_8, 1.53
2019-10-03-2230, sample_50_9, 1.96
2019-10-03-2230, sample_50_10, 0.61
2019-10-03-2230, sample_50_11, 1.52
2019-10-03-2230, sample_50_12, 1.18
2019-10-03-2230, sample_50_13, 0.21
2019-10-03-2230, sample_50_14, 1.16
2019-10-03-2230, sample_50_15, 1.76
2019-10-03-2230, sample_50_16, 1.4
2019-10-03-2230, sample_50_17, 0.0
2019-10-03-2230, sample_50_18, 0.72
2019-10-03-2230, sample_50_19, 1.1
2019-10-03-2230, sample_50_20, 1.97
2019-10-03-2230, sample_50_21, 0.92
2019-10-03-2230, sample_50_22, 1.17
2019-10-03-2230, sample_50_23, 1.52
2019-10-03-2230, sample_50_24, 0.73
2019-10-03-2230, sample_50_25, 0.88
2019-10-03-2230, sample_50_26, 1.52
2019-10-03-2230, sample_50_27, 1.8
2019-10-03-2230, sample_50_28, 1.71
2019-10-03-2230, sample_50_29, 1.22
2019-10-03-2230, sample_50_30, 1.5
2019-10-03-2230, sample_50_31, 1.26
2019-10-03-2230, sample_50_32, 1.06
2019-10-03-2230, sample_50_33, 1.82
2019-10-03-2230, sample_50_34, 1.52
2019-10-03-2230, sample_50_35, 0.09
2019-10-03-2230, sample_50_36, 0.92
2019-10-03-2230, sample_50_37, 1.66
2019-10-03-2230, sample_50_38, 0.06
