date,sample,OD600
2019-10-03-2230, sample_2_1, 1.25
2019-10-03-2230, sample_2_2, 1.03
2019-10-03-2230, sample_2_3, 0.8
2019-10-03-2230, sample_2_4, 0.09
2019-10-03-2230, sample_2_5, 0.17
2019-10-03-2230, sample_2_6, 0.54
2019-10-03-2230, sample_2_7, 1.31
2019-10-03-2230, sample_2_8, 0.3
2019-10-03-2230, sample_2_9, 1.0
2019-10-03-2230, sample_2_10, 0.09
2019-10-03-2230, sample_2_11, 1.53
2019-10-03-2230, sample_2_12, 1.65
2019-10-03-2230, sample_2_13, 1.57
2019-10-03-2230, sample_2_14, 0.29
2019-10-03-2230, sample_2_15, 0.7
2019-10-03-2230, sample_2_16, 1.38
2019-10-03-2230, sample_2_17, 1.01
2019-10-03-2230, sample_2_18, 0.38
2019-10-03-2230, sample_2_19, 1.01
2019-10-03-2230, sample_2_20, 0.82
2019-10-03-2230, sample_2_21, 0.84
2019-10-03-2230, sample_2_22, 1.38
2019-10-03-2230, sample_2_23, 1.46
2019-10-03-2230, sample_2_24, 1.63
2019-10-03-2230, sample_2_25, 1.41
2019-10-03-2230, sample_2_26, 0.35
2019-10-03-2230, sample_2_27, 1.94
2019-10-03-2230, sample_2_28, 1.36
2019-10-03-2230, sample_2_29, 1.13
2019-10-03-2230, sample_2_30, 0.6
2019-10-03-2230, sample_2_31, 1.04
2019-10-03-2230, sample_2_32, 0.6
